Admin2;Province_State;Country_Region;Last_Update;Lat;Long_;Confirmed;Deaths;Recovered;Active;Combined_Key;Incidence_Rate;Case-Fatality_Ratio;ID
Andrews;Texas;US;26/07/2020 04:35;32.30468633;-102.6376548;225;4;0;221;Andrews, Texas, US;1202.886929;1.777777778;
Androscoggin;Maine;US;26/07/2020 04:35;44.1664747;-70.20380627;532;5;0;527;Androscoggin, Maine, US;491.3324159;0.939849624;
Angelina;Texas;US;26/07/2020 04:35;31.25457347;-94.60901487;1405;14;0;1391;Angelina, Texas, US;1620.250245;0.996441281;
Anne Arundel;Maryland;US;26/07/2020 04:35;39.00670238;-76.60329337;6343;214;0;6129;Anne Arundel, Maryland, US;1095.066933;3.373797887;
Anoka;Minnesota;US;26/07/2020 04:35;45.27476015;-93.24604565;2950;111;0;2839;Anoka, Minnesota, US;826.5134301;3.762711864;
Anson;North Carolina;US;26/07/2020 04:35;34.97403241;-80.09953279;279;2;0;277;Anson, North Carolina, US;1141.291009;0.716845878;
Antelope;Nebraska;US;26/07/2020 04:35;42.17695516;-98.0666283;17;1;0;16;Antelope, Nebraska, US;269.9269609;5.882352941;
Antrim;Michigan;US;26/07/2020 04:35;44.99690221;-85.15503082;34;0;0;34;Antrim, Michigan, US;145.7725948;0;
Apache;Arizona;US;26/07/2020 04:35;35.39465006;-109.4892383;2908;128;0;2780;Apache, Arizona, US;4045.237665;4.401650619;
Appanoose;Iowa;US;26/07/2020 04:35;40.74324454;-92.86865906;36;3;0;33;Appanoose, Iowa, US;289.7151135;8.333333333;
Appling;Georgia;US;26/07/2020 04:35;31.74847232;-82.28909114;486;16;0;470;Appling, Georgia, US;2643.315566;3.29218107;
Appomattox;Virginia;US;26/07/2020 04:35;37.37569884;-78.81340003;56;0;0;56;Appomattox, Virginia, US;351.9577651;0;
Aransas;Texas;US;26/07/2020 04:35;28.10556197;-96.9995047;123;0;0;123;Aransas, Texas, US;523.1816248;0;
